,game_id,attendance
0,0022200001,19156.0
1,0022200002,18064.0
2,0022200003,20190.0
3,0022200004,15027.0
4,0022200005,17878.0
5,0022200006,18003.0
6,0022200007,19600.0
7,0022200008,19800.0
8,0022200009,18202.0
9,0022200010,17136.0
10,0022200011,16236.0
11,0022200012,18206.0
12,0022200013,17071.0
13,0022200014,17611.0
14,0022200015,20060.0
15,0022200016,18997.0
16,0022200017,19287.0
17,0022200018,12073.0
18,0022200019,20476.0
19,0022200020,17822.0
20,0022200021,17732.0
21,0022200022,19600.0
22,0022200023,19812.0
23,0022200024,18055.0
24,0022200025,17136.0
25,0022200026,18064.0
26,0022200027,19393.0
27,0022200028,19822.0
28,0022200029,16056.0
29,0022200030,19299.0
30,0022200031,19600.0
31,0022200032,21089.0
32,0022200033,17341.0
33,0022200034,20377.0
34,0022200035,19983.0
35,0022200036,16296.0
36,0022200037,18997.0
37,0022200038,17383.0
38,0022200039,19432.0
39,0022200040,18665.0
40,0022200041,15044.0
41,0022200042,18064.0
42,0022200043,19068.0
43,0022200044,19786.0
44,0022200045,19600.0
45,0022200046,18800.0
46,0022200047,17673.0
47,0022200048,16260.0
48,0022200049,17392.0
49,0022200050,15347.0
50,0022200051,18111.0
51,0022200052,13196.0
52,0022200053,14020.0
53,0022200054,13105.0
54,0022200055,17071.0
55,0022200056,
56,0022200057,17987.0
57,0022200058,19812.0
58,0022200059,19800.0
59,0022200060,17341.0
60,0022200061,18306.0
61,0022200062,16165.0
62,0022200063,18206.0
63,0022200064,19520.0
64,0022200065,18588.0
65,0022200066,18039.0
66,0022200067,14510.0
67,0022200068,18064.0
68,0022200069,15511.0
69,0022200070,18923.0
70,0022200071,18846.0
71,0022200072,19156.0
72,0022200073,19800.0
73,0022200074,13463.0
74,0022200075,17341.0
75,0022200076,17136.0
76,0022200077,16562.0
77,0022200078,19560.0
78,0022200079,17071.0
79,0022200080,19082.0
80,0022200081,14618.0
81,0022200082,19079.0
82,0022200083,17732.0
83,0022200084,19010.0
84,0022200085,17341.0
85,0022200086,20307.0
86,0022200087,18206.0
87,0022200088,18142.0
88,0022200089,19156.0
89,0022200090,19432.0
90,0022200091,20190.0
91,0022200092,15053.0
92,0022200093,20042.0
93,0022200094,17071.0
94,0022200095,18997.0
95,0022200096,12020.0
96,0022200097,13746.0
97,0022200098,15770.0
98,0022200099,19800.0
99,0022200100,17341.0
100,0022200101,18206.0
101,0022200102,14887.0
102,0022200103,17732.0
103,0022200104,19600.0
104,0022200105,13109.0
105,0022200106,17071.0
106,0022200107,19432.0
107,0022200108,19855.0
108,0022200109,19600.0
109,0022200110,19812.0
110,0022200111,17886.0
111,0022200112,15860.0
112,0022200113,17341.0
113,0022200114,12155.0
114,0022200115,19877.0
115,0022200116,19462.0
116,0022200117,18997.0
117,0022200118,18846.0
118,0022200119,13791.0
119,0022200120,18744.0
120,0022200121,13141.0
121,0022200122,20679.0
122,0022200123,17258.0
123,0022200124,19156.0
124,0022200125,17187.0
125,0022200126,12603.0
126,0022200127,20177.0
127,0022200128,18451.0
128,0022200129,17136.0
129,0022200130,17071.0
130,0022200131,18997.0
131,0022200132,18846.0
132,0022200133,19398.0
133,0022200134,17654.0
134,0022200135,19812.0
135,0022200136,17713.0
136,0022200137,16412.0
137,0022200138,19641.0
138,0022200139,17071.0
139,0022200140,18997.0
140,0022200141,19800.0
141,0022200142,16877.0
142,0022200143,16111.0
143,0022200144,13712.0
144,0022200145,15441.0
145,0022200146,16223.0
146,0022200147,14052.0
147,0022200148,20347.0
148,0022200149,17494.0
149,0022200150,19600.0
150,0022200151,21142.0
151,0022200152,17371.0
152,0022200153,14524.0
153,0022200154,11574.0
154,0022200155,20011.0
155,0022200156,18064.0
156,0022200157,18206.0
157,0022200158,16516.0
158,0022200159,14774.0
159,0022200160,14069.0
160,0022200161,18165.0
161,0022200162,15845.0
162,0022200163,19156.0
163,0022200164,18156.0
164,0022200165,19800.0
165,0022200166,19621.0
166,0022200167,16062.0
167,0022200168,15180.0
168,0022200169,13507.0
169,0022200170,19068.0
170,0022200171,13816.0
171,0022200172,18320.0
172,0022200173,16066.0
173,0022200174,19600.0
174,0022200175,14289.0
175,0022200176,19156.0
176,0022200177,15879.0
177,0022200178,19812.0
178,0022200179,16104.0
179,0022200180,15642.0
180,0022200181,16939.0
181,0022200182,18064.0
182,0022200183,17849.0
183,0022200184,17777.0
184,0022200185,13673.0
185,0022200186,20190.0
186,0022200187,13089.0
187,0022200188,20245.0
188,0022200189,19600.0
189,0022200190,20277.0
190,0022200191,15367.0
191,0022200192,18325.0
192,0022200193,19432.0
193,0022200194,17667.0
194,0022200195,19761.0
195,0022200196,21602.0
196,0022200197,16410.0
197,0022200198,18040.0
198,0022200199,16988.0
199,0022200200,15018.0
200,0022200201,19156.0
201,0022200202,19600.0
202,0022200203,16098.0
203,0022200204,17341.0
204,0022200205,18064.0
205,0022200206,14032.0
206,0022200207,19810.0
207,0022200208,18206.0
208,0022200209,19012.0
209,0022200210,17611.0
210,0022200211,14756.0
211,0022200212,16527.0
212,0022200213,12630.0
213,0022200214,18165.0
214,0022200215,19800.0
215,0022200216,17341.0
216,0022200217,14658.0
217,0022200218,19602.0
218,0022200219,18210.0
219,0022200220,17071.0
220,0022200221,19393.0
221,0022200222,16522.0
222,0022200223,17822.0
223,0022200224,18772.0
224,0022200225,19432.0
225,0022200226,19769.0
226,0022200227,21031.0
227,0022200228,15882.0
228,0022200229,17324.0
229,0022200230,20135.0
230,0022200231,17828.0
231,0022200232,18206.0
232,0022200233,18064.0
233,0022200234,18095.0
234,0022200235,18051.0
235,0022200236,14478.0
236,0022200237,20515.0
237,0022200238,19595.0
238,0022200239,18581.0
239,0022200240,17071.0
240,0022200241,14289.0
241,0022200242,17866.0
242,0022200243,18241.0
243,0022200244,19432.0
244,0022200245,18055.0
245,0022200246,20244.0
246,0022200247,18211.0
247,0022200248,19432.0
248,0022200249,14029.0
249,0022200250,20786.0
250,0022200251,17341.0
251,0022200252,16583.0
252,0022200253,18589.0
253,0022200254,15079.0
254,0022200255,19068.0
255,0022200256,20184.0
256,0022200257,16826.0
257,0022200258,19635.0
258,0022200259,17071.0
259,0022200260,16910.0
260,0022200261,19432.0
261,0022200262,15751.0
262,0022200263,18173.0
263,0022200264,19156.0
264,0022200265,19600.0
265,0022200266,19800.0
266,0022200267,17341.0
267,0022200268,13656.0
268,0022200269,14947.0
269,0022200270,18206.0
270,0022200271,18064.0
271,0022200272,17924.0
272,0022200273,15384.0
273,0022200274,19812.0
274,0022200275,19156.0
275,0022200276,15404.0
276,0022200277,19600.0
277,0022200278,16669.0
278,0022200279,17794.0
279,0022200280,17447.0
280,0022200281,16082.0
281,0022200282,18354.0
282,0022200283,17071.0
283,0022200284,18064.0
284,0022200285,16559.0
285,0022200286,19800.0
286,0022200287,15151.0
287,0022200288,18354.0
288,0022200289,17071.0
289,0022200290,17732.0
290,0022200291,17136.0
291,0022200292,16805.0
292,0022200293,17268.0
293,0022200294,19156.0
294,0022200295,18240.0
295,0022200296,19524.0
296,0022200297,16218.0
297,0022200298,17341.0
298,0022200299,19778.0
299,0022200300,13515.0
300,0022200301,19156.0
301,0022200302,15704.0
302,0022200303,19800.0
303,0022200304,13109.0
304,0022200305,16027.0
305,0022200306,18206.0
306,0022200307,16407.0
307,0022200308,16034.0
308,0022200309,14864.0
