"","PLAYER_NAME","MP","TS.","eFG.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","BPM","GAME_ID","DATE","TEAM_ABBREVIATION","PTS"
"1","Al Horford","23:06",".429",".429",".714",".000","6.3","24.4","15.5","5.0","0.0","0.0","0.0","13.9","104","123","-6.7",22200001,"2022-10-18","BOS",6
"2","Blake Griffin","8:17",".174",".000",".500","1.000","35.1","51.1","43.2","12.6","0.0","0.0","0.0","16.0","103","120","-11.8",22200001,"2022-10-18","BOS",1
"3","Derrick White","24:02",".291",".333",".333",".333","6.1","11.7","8.9","18.2","2.0","0.0","22.5","8.5","100","120","-3.1",22200001,"2022-10-18","BOS",2
"4","Grant Williams","23:57","1.187","1.300",".600",".600","0.0","5.9","3.0","5.6","0.0","0.0","0.0","12.1","233","125","10.7",22200001,"2022-10-18","BOS",15
"5","Jaylen Brown","38:34",".691",".667",".500",".125","0.0","11.0","5.6","8.7","2.5","2.7","13.6","35.0","117","116","4.9",22200001,"2022-10-18","BOS",35
"6","Jayson Tatum","38:38",".730",".700",".350",".450","0.0","43.9","22.3","16.7","1.3","2.7","11.1","32.1","133","116","9.4",22200001,"2022-10-18","BOS",35
"7","Malcolm Brogdon","23:52",".673",".636",".182",".182","6.1","5.9","6.0","25.2","4.1","0.0","7.8","24.8","138","116","7.2",22200001,"2022-10-18","BOS",16
"8","Marcus Smart","36:05",".608",".438",".500","1.000","4.0","7.8","6.0","22.2","1.4","0.0","8.0","16.0","140","122","0.6",22200001,"2022-10-18","BOS",14
"9","Noah Vonleh","20:10",".500",".500",".000",".000","0.0","14.0","7.1","0.0","2.4","5.2","0.0","4.6","101","114","-3.0",22200001,"2022-10-18","BOS",2
"10","Sam Hauser","3:19","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","125","-10.5",22200001,"2022-10-18","BOS",0
"11","Danuel House Jr.","16:12",".174",".000",".500","1.000","0.0","9.0","4.4","7.4","6.0","0.0","25.8","10.8","43","121","-5.6",22200001,"2022-10-18","PHI",1
"12","De'Anthony Melton","20:33",".625",".625",".500",".000","0.0","0.0","0.0","0.0","2.4","0.0","0.0","8.8","122","130","-2.0",22200001,"2022-10-18","PHI",5
"13","Georges Niang","12:09",".375",".375",".750",".000","0.0","0.0","0.0","11.0","0.0","0.0","0.0","14.9","88","136","-6.6",22200001,"2022-10-18","PHI",3
"14","James Harden","37:17",".908",".821",".643",".857","0.0","31.2","15.4","31.7","0.0","0.0","13.5","27.0","165","132","14.5",22200001,"2022-10-18","PHI",35
"15","Joel Embiid","37:16",".592",".528",".333",".500","3.8","54.6","28.8","22.7","0.0","2.7","21.5","33.9","103","127","-0.2",22200001,"2022-10-18","PHI",26
"16","Matisse Thybulle","0:23","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","136","-4.0",22200001,"2022-10-18","PHI",0
"17","Montrezl Harrell","10:44",".333",".333",".000",".000","0.0","0.0","0.0","0.0","0.0","9.5","25.0","16.8","49","128","-16.3",22200001,"2022-10-18","PHI",2
"18","P.J. Tucker","33:01",".600",".600",".400",".000","8.6","8.8","8.7","0.0","0.0","3.1","28.6","9.6","98","132","-4.2",22200001,"2022-10-18","PHI",6
"19","Tobias Harris","34:14",".605",".607",".429",".143","4.1","4.2","4.2","0.0","4.3","0.0","0.0","19.6","122","125","2.7",22200001,"2022-10-18","PHI",18
"20","Tyrese Maxey","38:11",".606",".563",".313",".188","0.0","3.8","1.9","8.4","2.6","0.0","5.5","21.7","118","129","-0.9",22200001,"2022-10-18","PHI",21
"21","Andrew Wiggins","29:28",".714",".714",".500",".000","3.3","17.7","10.2","20.4","1.4","3.0","6.7","19.2","136","96","9.7",22200002,"2022-10-18","GSW",20
"22","Donte DiVincenzo","21:37",".581",".583",".333",".333","0.0","9.7","4.6","11.6","2.0","0.0","36.8","19.0","75","99","-6.7",22200002,"2022-10-18","GSW",8
"23","Draymond Green","24:41",".400",".400",".000",".000","0.0","21.1","10.1","23.7","0.0","0.0","16.7","9.2","102","101","-2.2",22200002,"2022-10-18","GSW",4
"24","James Wiseman","16:31",".515",".667",".000",".667","5.8","37.9","21.2","0.0","0.0","5.4","0.0","17.7","99","93","-1.9",22200002,"2022-10-18","GSW",8
"25","JaMychal Green","23:26",".667",".667",".500",".000","20.5","8.9","14.9","0.0","1.8","0.0","0.0","9.7","153","99","2.6",22200002,"2022-10-18","GSW",8
"26","Jonathan Kuminga","13:04",".000",".000",".667",".000","7.3","16.0","11.5","0.0","0.0","6.8","40.0","14.4","15","97","-17.7",22200002,"2022-10-18","GSW",0
"27","Jordan Poole","28:11",".378",".333",".600",".133","0.0","7.4","3.5","31.2","3.0","0.0","20.1","26.6","80","97","-5.1",22200002,"2022-10-18","GSW",12
"28","Kevon Looney","21:08",".788",".750",".000",".250","9.1","19.8","14.2","11.9","2.0","0.0","0.0","7.9","177","96","5.3",22200002,"2022-10-18","GSW",7
"29","Klay Thompson","19:39",".592",".538",".462",".385","0.0","10.6","5.1","24.2","2.2","0.0","11.6","33.1","110","98","3.9",22200002,"2022-10-18","GSW",18
"30","Moses Moody","7:35",".625",".625",".750",".000","0.0","13.8","6.6","0.0","0.0","0.0","0.0","19.9","116","102","2.4",22200002,"2022-10-18","GSW",5
