Date,1st,2nd,3rd,4th,5th,6th
10/18/2022, BOS, PHI,,,,
10/19/2022, ATL, BOS, CHI, CHO, DET, TOR
10/20/2022, ATL, BOS, CHI, CHO, DET, MIL
10/21/2022, ATL, BOS, WAS, MIL, BRK, CHI
10/22/2022, BOS, ATL, MIL, WAS, BRK, CHO
10/23/2022, BOS, MIL, ATL, CHO, CLE, WAS
10/24/2022, MIL, BOS, ATL, CHO, CLE, NYK
10/25/2022, MIL, BOS, WAS, ATL, CHO, CLE
10/26/2022, MIL, ATL, BOS, CLE, NYK, WAS
10/27/2022, MIL, ATL, BOS, CLE, NYK, WAS
10/28/2022, MIL, ATL, CLE, BOS, NYK, WAS
10/29/2022, MIL, CLE, ATL, BOS, NYK, WAS
10/30/2022, MIL, CLE, ATL, BOS, CHO, NYK
10/31/2022, MIL, CLE, BOS, ATL, TOR, PHI
11/1/2022, MIL, CLE, BOS, ATL, TOR, CHI
11/2/2022, MIL, CLE, ATL, TOR, BOS, CHI
11/3/2022, MIL, CLE, ATL, TOR, BOS, CHI
11/4/2022, MIL, CLE, ATL, BOS, TOR, CHI
11/5/2022, MIL, CLE, ATL, BOS, TOR, CHI
11/6/2022, MIL, CLE, ATL, BOS, TOR, CHI
11/7/2022, MIL, CLE, ATL, BOS, TOR, CHI
11/9/2022, MIL, BOS, CLE, ATL, TOR, CHI
11/10/2022, MIL, BOS, CLE, ATL, TOR, WAS
11/11/2022, MIL, BOS, ATL, CLE, TOR, NYK
11/12/2022, MIL, BOS, CLE, ATL, WAS, TOR
11/13/2022, MIL, BOS, ATL, CLE, WAS, PHI
11/14/2022, BOS, MIL, ATL, CLE, WAS, TOR
11/15/2022, BOS, MIL, ATL, CLE, WAS, TOR
11/16/2022, BOS, MIL, ATL, CLE, TOR, IND
11/17/2022, BOS, MIL, ATL, CLE, TOR, IND
11/18/2022, BOS, MIL, ATL, CLE, IND, TOR
11/19/2022, BOS, MIL, ATL, CLE, IND, WAS
11/20/2022, BOS, MIL, ATL, CLE, IND, WAS
11/21/2022, BOS, MIL, CLE, IND, ATL, WAS
11/22/2022, BOS, MIL, CLE, IND, ATL, WAS
11/23/2022, BOS, MIL, CLE, ATL, IND, WAS
11/25/2022, BOS, MIL, CLE, IND, ATL, PHI
11/26/2022, BOS, MIL, CLE, IND, ATL, PHI
11/27/2022, BOS, MIL, CLE, IND, ATL, PHI
11/28/2022, BOS, MIL, CLE, IND, PHI, TOR
11/29/2022, BOS, MIL, CLE, IND, PHI, TOR
11/30/2022, BOS, MIL, CLE, IND, ATL, PHI
12/1/2022, BOS, MIL, CLE, IND, ATL, PHI
12/2/2022, BOS, MIL, CLE, ATL, IND, BRK
12/3/2022, BOS, MIL, CLE, ATL, IND, BRK
12/4/2022, BOS, MIL, CLE, ATL, IND, PHI
12/5/2022, BOS, MIL, CLE, ATL, IND, BRK
12/6/2022, BOS, MIL, CLE, ATL, IND, BRK
12/7/2022, BOS, MIL, CLE, BRK, ATL, IND
12/8/2022, BOS, MIL, CLE, BRK, ATL, IND
12/9/2022, BOS, MIL, CLE, BRK, IND, PHI
12/10/2022, BOS, MIL, CLE, BRK, PHI, IND
12/11/2022, BOS, MIL, CLE, BRK, PHI, ATL
12/12/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/13/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/14/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/15/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/16/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/17/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/18/2022, MIL, BOS, CLE, BRK, PHI, NYK
12/19/2022, MIL, BOS, CLE, BRK, PHI, NYK
12/20/2022, MIL, BOS, CLE, BRK, PHI, NYK
12/21/2022, MIL, BOS, CLE, BRK, PHI, NYK
12/22/2022, MIL, BOS, CLE, BRK, PHI, NYK
12/23/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/25/2022, BOS, MIL, CLE, BRK, PHI, NYK
12/26/2022, BOS, MIL, BRK, CLE, PHI, NYK
12/27/2022, BOS, MIL, BRK, CLE, PHI, IND
12/28/2022, BOS, BRK, MIL, CLE, PHI, IND
12/29/2022, BOS, BRK, MIL, CLE, PHI, IND
12/30/2022, BOS, BRK, MIL, CLE, PHI, IND
12/31/2022, BOS, BRK, MIL, CLE, PHI, IND
1/1/2023, BOS, BRK, MIL, CLE, PHI, IND
1/2/2023, BOS, BRK, MIL, CLE, PHI, IND
1/3/2023, BOS, BRK, MIL, CLE, PHI, IND
1/4/2023, BOS, BRK, MIL, CLE, PHI, IND
1/5/2023, BOS, BRK, MIL, CLE, PHI, IND
1/6/2023, BOS, BRK, MIL, CLE, PHI, IND
1/7/2023, BOS, BRK, MIL, CLE, PHI, IND
1/8/2023, BOS, BRK, MIL, CLE, PHI, IND
1/9/2023, BOS, BRK, MIL, CLE, PHI, IND
1/10/2023, BOS, BRK, MIL, PHI, CLE, IND
1/11/2023, BOS, BRK, MIL, PHI, CLE, IND
1/12/2023, BOS, BRK, MIL, CLE, PHI, IND
1/13/2023, BOS, BRK, MIL, CLE, PHI, NYK
1/14/2023, BOS, BRK, MIL, PHI, CLE, NYK
1/15/2023, BOS, BRK, MIL, PHI, CLE, NYK
1/16/2023, BOS, BRK, MIL, PHI, CLE, NYK
1/17/2023, BOS, MIL, PHI, BRK, CLE, NYK
1/18/2023, BOS, MIL, PHI, BRK, CLE, MIA
1/19/2023, BOS, MIL, PHI, BRK, CLE, MIA
1/20/2023, BOS, MIL, PHI, BRK, CLE, MIA
1/21/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/22/2023, BOS, PHI, BRK, MIL, CLE, MIA
1/23/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/24/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/25/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/26/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/27/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/28/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/29/2023, BOS, PHI, MIL, BRK, CLE, MIA
1/30/2023, BOS, MIL, PHI, BRK, CLE, MIA
1/31/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/1/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/2/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/3/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/4/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/5/2023, BOS, MIL, PHI, BRK, CLE, MIA
2/6/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/7/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/8/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/9/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/10/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/11/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/12/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/13/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/14/2023, BOS, MIL, PHI, CLE, BRK, MIA
2/15/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/16/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/23/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/24/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/25/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/26/2023, BOS, MIL, PHI, CLE, BRK, NYK
2/27/2023, MIL, BOS, PHI, CLE, NYK, BRK
2/28/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/1/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/2/2023, MIL, BOS, PHI, CLE, NYK, BRK
3/3/2023, MIL, BOS, PHI, CLE, NYK, BRK
