Date,1st,2nd,3rd,4th,5th,6th
10/18/2022, GSW, LAL,,,,
10/19/2022, GSW, MEM, MIN, NOP, PHO, POR
10/20/2022, GSW, LAC, MEM, MIN, NOP, PHO
10/21/2022, MEM, NOP, POR, UTA, LAC, DEN
10/22/2022, LAC, NOP, POR, UTA, DEN, MEM
10/23/2022, POR, UTA, DEN, GSW, LAC, MEM
10/24/2022, POR, MEM, SAS, UTA, GSW, LAC
10/25/2022, POR, MEM, NOP, PHO, SAS, UTA
10/26/2022, POR, UTA, MEM, NOP, PHO, DEN
10/27/2022, MEM, POR, UTA, NOP, PHO, DEN
10/28/2022, POR, MEM, PHO, DEN, MIN, SAS
10/29/2022, POR, PHO, UTA, DEN, MEM, MIN
10/30/2022, PHO, POR, SAS, UTA, MEM, NOP
10/31/2022, PHO, POR, UTA, SAS, NOP, DEN
11/1/2022, PHO, POR, UTA, SAS, NOP, DEN
11/2/2022, PHO, POR, UTA, MEM, SAS, DAL
11/3/2022, PHO, POR, UTA, DEN, MEM, SAS
11/4/2022, PHO, POR, UTA, MEM, DAL, DEN
11/5/2022, PHO, UTA, DEN, MEM, POR, DAL
11/6/2022, PHO, UTA, MEM, DEN, POR, DAL
11/7/2022, UTA, DEN, PHO, POR, DAL, MEM
11/9/2022, UTA, DEN, PHO, POR, MEM, DAL
11/10/2022, UTA, POR, DEN, PHO, MEM, LAC
11/11/2022, UTA, POR, MEM, DEN, PHO, LAC
11/12/2022, UTA, MEM, POR, DEN, PHO, DAL
11/13/2022, DEN, POR, UTA, PHO, MEM, DAL
11/14/2022, DEN, POR, UTA, MEM, PHO, DAL
11/15/2022, POR, DEN, UTA, DAL, PHO, MEM
11/16/2022, POR, DEN, PHO, UTA, MEM, NOP
11/17/2022, POR, DEN, PHO, UTA, MEM, NOP
11/18/2022, POR, UTA, MEM, DAL, DEN, PHO
11/19/2022, UTA, MEM, POR, DAL, DEN, PHO
11/20/2022, UTA, DEN, PHO, POR, SAC, LAC
11/21/2022, UTA, DEN, PHO, LAC, SAC, MEM
11/22/2022, PHO, UTA, SAC, LAC, DEN, NOP
11/23/2022, PHO, DEN, NOP, UTA, SAC, LAC
11/25/2022, PHO, DEN, MEM, NOP, POR, UTA
11/26/2022, PHO, DEN, MEM, NOP, POR, SAC
11/27/2022, PHO, DEN, MEM, NOP, LAC, SAC
11/28/2022, PHO, DEN, MEM, NOP, LAC, POR
11/29/2022, PHO, DEN, MEM, NOP, LAC, SAC
11/30/2022, PHO, DEN, NOP, MEM, LAC, SAC
12/1/2022, PHO, DEN, NOP, MEM, LAC, SAC
12/2/2022, PHO, DEN, NOP, MEM, LAC, UTA
12/3/2022, PHO, DEN, NOP, MEM, SAC, GSW
12/4/2022, PHO, NOP, DEN, MEM, SAC, GSW
12/5/2022, PHO, NOP, MEM, DEN, SAC, LAC
12/6/2022, PHO, NOP, MEM, SAC, DEN, LAC
12/7/2022, NOP, MEM, PHO, DEN, SAC, UTA
12/8/2022, NOP, MEM, PHO, DEN, SAC, UTA
12/9/2022, NOP, MEM, PHO, DEN, SAC, UTA
12/10/2022, NOP, MEM, DEN, PHO, SAC, POR
12/11/2022, NOP, MEM, DEN, PHO, SAC, POR
12/12/2022, NOP, MEM, DEN, PHO, SAC, POR
12/13/2022, MEM, NOP, DEN, PHO, POR, LAC
12/14/2022, MEM, NOP, DEN, PHO, POR, LAC
12/15/2022, MEM, NOP, DEN, PHO, POR, SAC
12/16/2022, MEM, NOP, DEN, PHO, SAC, POR
12/17/2022, MEM, NOP, DEN, PHO, SAC, POR
12/18/2022, MEM, DEN, NOP, PHO, SAC, POR
12/19/2022, MEM, DEN, PHO, NOP, LAC, SAC
12/20/2022, DEN, MEM, NOP, PHO, LAC, SAC
12/21/2022, DEN, MEM, NOP, PHO, LAC, SAC
12/22/2022, DEN, MEM, NOP, PHO, LAC, SAC
12/23/2022, DEN, MEM, NOP, PHO, LAC, SAC
