name,22.23_salary
Stephen Curry,"$48,070,014 "
John Wall,"$47,345,760 "
Russell Westbrook,"$47,080,179 "
LeBron James,"$44,474,988 "
Kevin Durant,"$44,119,845 "
Bradley Beal,"$43,279,250 "
Paul George,"$42,492,492 "
Kawhi Leonard,"$42,492,492 "
Giannis Antetokounmpo,"$42,492,492 "
Damian Lillard,"$42,492,492 "
Klay Thompson,"$40,600,080 "
Kyrie Irving,"$38,917,057 "
Rudy Gobert,"$38,172,414 "
Khris Middleton,"$37,984,276 "
Anthony Davis,"$37,980,720 "
Jimmy Butler,"$37,653,300 "
Tobias Harris,"$37,633,050 "
Kemba Walker,"$37,281,261 "
Trae Young,"$37,096,500 "
Zach LaVine,"$37,096,500 "
Luka Doncic,"$37,096,500 "
Ben Simmons,"$35,448,672 "
Pascal Siakam,"$35,448,672 "
Myles Turner,"$35,096,500 "
Jrue Holiday,"$34,319,520 "
Karl-Anthony Towns,"$33,833,400 "
Devin Booker,"$33,833,400 "
Kristaps Porzingis,"$33,833,400 "
Joel Embiid,"$33,616,770 "
Andrew Wiggins,"$33,616,770 "
CJ McCollum,"$33,333,333 "
Nikola Jokic,"$33,047,803 "
James Harden,"$33,000,000 "
Jamal Murray,"$31,650,600 "
Brandon Ingram,"$31,650,600 "
D'Angelo Russell,"$31,377,750 "
Michael Porter,"$30,913,750 "
Shai Gilgeous-Alexander,"$30,913,750 "
Donovan Mitchell,"$30,913,750 "
Deandre Ayton,"$30,913,750 "
Kevin Love,"$30,556,968 "
Jayson Tatum,"$30,351,780 "
Bam Adebayo,"$30,351,780 "
De'Aaron Fox,"$30,351,780 "
Gordon Hayward,"$30,075,000 "
Jaylen Brown,"$29,776,785 "
Jaren Jackson Jr,"$28,946,605 "
Chris Paul,"$28,400,000 "
Kyle Lowry,"$28,333,334 "
Jalen Brunson,"$27,733,332 "
DeMar DeRozan,"$27,300,000 "
Al Horford,"$26,500,000 "
Draymond Green,"$25,806,468 "
Julius Randle,"$23,760,000 "
John Collins,"$23,500,000 "
Mike Conley,"$22,680,000 "
Malcolm Brogdon,"$22,600,000 "
Anfernee Simons,"$22,321,429 "
Nikola Vucevic,"$22,000,000 "
Terry Rozier,"$21,486,316 "
Fred VanVleet,"$21,250,000 "
Buddy Hield,"$21,177,750 "
Domantas Sabonis,"$21,100,000 "
Jerami Grant,"$20,955,000 "
Mikal Bridges,"$20,100,000 "
Jarrett Allen,"$20,000,000 "
Nicolas Batum,"$19,700,319 "
Aaron Gordon,"$19,690,909 "
Tim Hardaway Jr,"$19,602,273 "
Eric Gordon,"$19,568,360 "
Bojan Bogdanovic,"$19,550,000 "
Lonzo Ball,"$19,534,884 "
Spencer Dinwiddie,"$19,500,000 "
Danilo Gallinari,"$19,479,000 "
Caris LeVert,"$18,796,296 "
Joe Harris,"$18,642,857 "
Harrison Barnes,"$18,352,273 "
Clint Capela,"$18,206,896 "
Evan Fournier,"$18,000,000 "
Bogdan Bogdanovic,"$18,000,000 "
Steven Adams,"$17,926,829 "
Jonathan Isaac,"$17,400,000 "
OG Anunoby,"$17,357,143 "
Gary Trent Jr,"$17,280,000 "
Marcus Smart,"$17,207,142 "
Derrick White,"$17,142,857 "
Dejounte Murray,"$17,071,120 "
Mitchell Robinson,"$17,045,454 "
Duncan Robinson,"$16,902,000 "
Norman Powell,"$16,758,621 "
Collin Sexton,"$16,700,000 "
Markelle Fultz,"$16,500,000 "
