"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","PF","PTS","STL","BLK","TO","OREB","DREB","AST","BLKA","PFD","POSS","SCREEN_ASSISTS","DEFLECTIONS","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","OFF_BOXOUTS","DEF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","D_FGM","D_FGA","DRIVES","DIST_MILES_OFF","DIST_MILES_DEF","TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","FT_AST","OREB_CONTEST","OREB_CHANCES","DREB_CONTEST","DREB_CHANCES"
"1",22200001,1610612755,"PHI",202699,"Tobias Harris",34.2333333333333,7,14,3,6,1,2,3,18,3,0,0,1,1,0,0,2,70,0,2,0,3,0,0,1,0,0,4,8,2,1.3,1.1,43,27,23,0,0,0,1,3,0,3
"2",22200001,1610612755,"PHI",200782,"P.J. Tucker",33.0166666666667,3,5,0,2,0,0,2,6,0,1,2,2,2,0,0,1,68,2,5,0,1,2,0,0,0,0,4,9,0,1.3,1.1,30,21,16,0,1,0,1,6,0,4
"3",22200001,1610612755,"PHI",203954,"Joel Embiid",37.2666666666667,9,18,1,6,7,9,4,26,0,1,6,1,14,5,1,11,76,7,1,0,6,2,0,4,0,0,13,21,5,1.3,1.1,73,41,51,1,5,0,1,5,5,14
"4",22200001,1610612755,"PHI",1630178,"Tyrese Maxey",38.2,8,16,2,5,3,3,5,21,2,0,1,0,1,2,2,5,80,0,2,0,1,2,0,0,0,1,5,10,9,1.7,1.3,73,51,52,2,5,0,0,2,0,1
"5",22200001,1610612755,"PHI",201935,"James Harden",37.2666666666667,9,14,5,9,12,12,3,35,0,0,3,0,8,7,0,4,77,0,2,0,1,2,0,1,0,0,11,19,13,1.3,1,98,75,84,1,17,1,0,1,1,8
"6",22200001,1610612755,"PHI",1626149,"Montrezl Harrell",10.7333333333333,1,3,0,0,0,0,3,2,0,1,1,0,0,0,0,0,23,0,0,0,3,1,0,0,0,0,2,5,0,0.4,0.3,13,9,10,0,1,0,0,0,0,0
"7",22200001,1610612755,"PHI",1629001,"De'Anthony Melton",20.55,2,4,1,2,0,0,2,5,1,0,0,0,0,0,0,0,41,0,3,0,0,1,0,0,0,0,7,8,1,0.8,0.7,27,23,12,0,2,0,0,0,0,0
"8",22200001,1610612755,"PHI",1627863,"Danuel House Jr.",16.2,0,2,0,1,1,2,2,1,2,0,1,0,1,1,0,1,32,0,0,0,0,2,0,0,0,0,1,4,1,0.7,0.6,14,10,6,0,1,0,0,1,0,3
"9",22200001,1610612755,"PHI",1627777,"Georges Niang",12.1333333333333,1,4,1,3,0,0,1,3,0,0,0,0,0,1,0,0,25,0,1,0,0,0,0,0,0,0,1,2,1,0.5,0.4,10,6,9,0,2,1,0,0,0,0
"10",22200001,1610612755,"PHI",1629680,"Matisse Thybulle",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
