"","player","ROI","salary","gp","PVGS","position","Z_val"
"5","James Harden",0.0195846471606491,3.3e+07,58,6.70336984676054,"PG",0.0166239055808307
"15","Marcus Smart",0.0188359709866368,17207142,61,3.37185041277864,"PG",-0.00321848924191874
"17","Malcolm Brogdon",0.0150305991441824,22600000,67,4.54263163504424,"PG",-0.10407342915632
"22","Russell Westbrook",0.0020685267923426,47080179,73,5.18836110527916,"PG",-0.447611217928031
"23","Patrick Beverley",0.006313982840078,13801614,67,2.07201140459852,"PG",-0.335092591015761
"31","Stephen Curry",0.0136432458804925,48070014,55,7.3053394191583,"PG",-0.140842879250123
"32","Jordan Poole",0.132480108547186,3901399,81,5.84394819151037,"PG",3.00872702878151
"51","Killian Hayes",0.00321317632907259,5837760,75,3.25744523602964,"PG",-0.417274219329889
"54","Cory Joseph",-0.00634914443943568,5155500,62,1.96765060316935,"PG",-0.670707346623988
"60","Monte Morris",-0.00355896268917355,9125000,62,3.50384653976138,"PG",-0.596758301846423
"62","Delon Wright",-0.00760625370225843,7804878,50,2.56362084893764,"PG",-0.704024899918872
"69","Tyrese Haliburton",0.0796507512619777,4215120,56,6.6305779454181,"PG",1.60857433009555
"72","T.J. McConnell",-0.00200207154893595,8100000,75,3.62785845835265,"PG",-0.55549553728551
"78","Kevin Porter Jr.",0.0383393390790936,3217631,59,4.81667384949748,"PG",0.513685271685813
"88","Trae Young",-0.00353870910753606,37096500,73,8.65933678565546,"PG",-0.596221514945256
"90","Aaron Holiday",0.0196994155641437,1968175,63,0.905693431013835,"PG",0.0196656478645635
"96","CJ McCollum",0.00108523714588848,33333333,75,6.32204524531371,"PG",-0.473671645743574
"97","Jose Alvarado",0.19700859069466,1563518,61,2.16590963071732,"PG",4.71894523062573
"100","Devonte' Graham",-0.00977163273470016,11550000,72,2.30597083642582,"PG",-0.761414606168435
"102","Dyson Daniels",0.00959785627760423,5508600,59,1.09935539505198,"PG",-0.248059083663536
"106","Kyrie Irving",0.00737828321897593,38917057,60,7.26105543234135,"PG",-0.306885110851249
"107","Ben Simmons",-0.0219954256044419,35448672,42,1.95718244269104,"PG",-1.0853855468397
"115","Alex Caruso",-0.00321559476157007,9030000,66,2.16298245998497,"PG",-0.587657916091573
"119","Goran Dragic",0.0333615230618234,3523762,57,1.18240077170952,"PG",0.381756683334531
"124","Kyle Lowry",-0.0143611829852368,28333334,55,2.97546058734368,"PG",-0.883052867530417
"126","Gabe Vincent",0.0848876932788878,1815677,68,2.16684633451973,"PG",1.74737061448441
"133","Darius Garland",0.038983244537103,8920794,69,6.67487310257092,"PG",0.530750896010244
"138","Raul Neto",-0.0135573180838752,2463490,48,0.680719026210909,"PG",-0.861747788898777
"143","Fred VanVleet",0.00395128594570227,21250000,69,6.23972747246331,"PG",-0.397711873226173
"151","Jalen Brunson",0.00894497327253552,27733332,68,7.21237789684191,"PG",-0.265362642677856
"159","Ja Morant",0.0580565888824891,12119440,61,7.09036761551645,"PG",1.03625760535717
"161","Tyus Jones",0.0181318159402182,1.5e+07,80,4.45386573175093,"PG",-0.0218809269318883
"167","Shai Gilgeous-Alexander",-0.00359975655942879,30913750,68,9.82804667065683,"PG",-0.597839474332005
"168","Tre Mann",0.00541430990600267,3046200,67,1.64945263156014,"PG",-0.358936899394902
"177","D'Angelo Russell",-0.00382337369530372,31377750,70,5.63462721450586,"PG",-0.603766068035907
"179","Jordan McLaughlin",0.0247177377750587,2160000,42,0.941243264960446,"PG",0.152667784319774
"189","Dennis Smith Jr.",0.0222529782340677,2133278,54,2.30222960638412,"PG",0.0873435044066283
"195","Theo Maledon",0.00436543301936654,2408891,44,1.38025276960281,"PG",-0.386735606001997
"199","Tre Jones",0.0709525149569947,1782621,65,4.34277241471721,"PG",1.37804229900381
"208","Jamal Murray",0.00523669643910285,31650600,65,5.7590935220785,"PG",-0.36364424371598
"211","Bones Hyland",0.0937806026473638,2201520,56,2.38880711308809,"PG",1.98306212563076
"213","Ish Smith",-0.0134473358871112,4725000,43,0.280267396581786,"PG",-0.85883289692356
"221","Mike Conley",-0.01013626311351,22680000,66,4.21464016226923,"PG",-0.771078517204816
"222","Collin Sexton",-0.029707311245693,16700000,48,2.6658461982721,"PG",-1.28977602303386
"233","Spencer Dinwiddie",0.0239324365641995,19500000,79,6.28422055927553,"PG",0.131854704884985
"234","Luka Doncic",0.0253466633432891,37096500,66,9.95964135315283,"PG",0.169336392019776
"241","Chris Paul",0.00915865261087379,28400000,59,4.83825131875901,"PG",-0.259699433477475
"244","Cameron Payne",0.048654372526391,6e+06,48,1.897448542903,"PG",0.787067774529799
"253","Damian Lillard",-0.0113680571029718,42492492,58,8.44455174133715,"PG",-0.803725132026553
"260","De'Aaron Fox",-0.00799784665850101,30351780,73,8.0407826668248,"PG",-0.714403408434685
"263","Davion Mitchell",0.00198767611108952,4833600,80,1.75967894478987,"PG",-0.449754028391084
"269","Jevon Carter",0.028644505806485,6025000,81,2.65467835982632,"PG",0.256740124754146
"270","Jrue Holiday",0.0108102003020694,34319520,67,6.24125796524394,"PG",-0.21592795724406
"272","George Hill",0.0203287250617443,4e+06,46,1.13118075446069,"PG",0.0363444309627045
"280","Reggie Jackson",0.0135450581110825,11457217,68,2.40599661883507,"PG",-0.143445179890942
"287","Cole Anthony",0.0164596853965735,3613680,60,3.50717515498047,"PG",-0.0661979168320261
"289","Miles McBride",0.0318799336341911,1563518,64,0.666077587381255,"PG",0.342489663214549
"293","Payton Pritchard",0.044913917164745,2239200,48,0.845546916403188,"PG",0.687933336065044
