"","player","GP","PVWL","WLpg","position","Z_val"
"5","James Harden",58,3.95569232918675,0.0682015918825302,"PG",1.79097125347594
"15","Marcus Smart",61,1.80404368283457,0.0295744866038454,"PG",0.0347986537720055
"18","Malcolm Brogdon",67,3.84288831496999,0.0573565420144775,"PG",1.69890077568676
"24","Russell Westbrook",73,2.24356684541018,0.0307337924028792,"PG",0.393536841049528
"25","Patrick Beverley",67,2.12254082393687,0.0316797137901025,"PG",0.29475557249857
"32","Scotty Pippen Jr.",6,0.243423750743537,0.0405706251239229,"PG",-1.23897714040172
"38","Stephen Curry",55,4.13852119727631,0.0752458399504783,"PG",1.94019591853365
"39","Jordan Poole",81,1.58036456859932,0.0195106736864113,"PG",-0.147767924749986
"45","Ryan Rollins",12,0.354440015936465,0.0295366679947054,"PG",-1.14836582085203
"59","Cade Cunningham",12,0.153697250526536,0.0128081042105447,"PG",-1.31221178371376
"61","Killian Hayes",75,0.285100720308183,0.00380134293744243,"PG",-1.20496045644535
"64","Cory Joseph",62,1.76677780699866,0.0284964162419139,"PG",0.00438229831455854
"70","Monte Morris",62,2.72328008480638,0.0439238723355867,"PG",0.785078112516446
"72","Delon Wright",50,3.11922320265624,0.0623844640531247,"PG",1.10824632856702
"80","Tyrese Haliburton",56,3.36740229465923,0.0601321838332006,"PG",1.31080975449345
"83","T.J. McConnell",75,3.74165167424384,0.0498886889899178,"PG",1.61627157187565
"91","Kevin Porter Jr.",59,1.69160861398975,0.0286713324405043,"PG",-0.0569706913233697
"101","Trae Young",73,1.87131733005133,0.0256344839733059,"PG",0.0897073100363647
"103","Aaron Holiday",63,1.98502827872099,0.0315083853765236,"PG",0.182518026450752
"110","CJ McCollum",75,1.22224179534418,0.0162965572712557,"PG",-0.440067228721807
"111","Jose Alvarado",61,1.78848883641068,0.0293194891214865,"PG",0.0221028099926097
"114","Devonte' Graham",72,2.56065087071477,0.035564595426594,"PG",0.652340376648987
"116","Dyson Daniels",59,2.24045489803487,0.0379738118310995,"PG",0.39099687397753
"120","Kyrie Irving",60,3.45256972309178,0.0575428287181964,"PG",1.38032328982556
"121","Ben Simmons",42,2.76207612391472,0.0657637172360648,"PG",0.816743385085285
"123","Patty Mills",40,1.04013630284836,0.0260034075712091,"PG",-0.588701475637044
"132","Alex Caruso",66,2.98512607909979,0.0452291830166635,"PG",0.998796444875183
"137","Goran Dragic",57,1.47856980941074,0.0259398212177323,"PG",-0.230852664065354
"142","Kyle Lowry",55,2.58022696157634,0.0469132174832061,"PG",0.668318354484117
"144","Gabe Vincent",68,1.31630232349821,0.0193573871102678,"PG",-0.363295157901675
"152","Darius Garland",69,2.07377008177039,0.0300546388662375,"PG",0.254948961319182
"157","Raul Neto",48,1.94894203571307,0.0406029590773556,"PG",0.153064485648817
"162","Fred VanVleet",69,1.81044328265906,0.0262383084443343,"PG",0.0400219981502364
"165","Dalano Banton",31,1.15174180191395,0.0371529613520629,"PG",-0.497609224229012
"172","Jalen Brunson",68,3.624466545301,0.0533009786073676,"PG",1.52062523440736
"177","Derrick Rose",27,0.698955998950272,0.0258872592203804,"PG",-0.867172359942575
"182","Ja Morant",61,3.27297010921226,0.0536552476920043,"PG",1.23373433751341
"184","Tyus Jones",80,3.3696564240178,0.0421207053002225,"PG",1.31264957170637
"192","Shai Gilgeous-Alexander",68,5.03637297231416,0.0740643084163847,"PG",2.67302127484367
"193","Tre Mann",67,1.60667325562811,0.0239801978451957,"PG",-0.126294811389917
"205","D'Angelo Russell",70,2.57496091170709,0.0367851558815299,"PG",0.664020211985471
"207","Jordan McLaughlin",42,1.56325937345271,0.0372204612726835,"PG",-0.16172916097691
"218","Dennis Smith Jr.",54,1.43669811172121,0.0266055205874298,"PG",-0.265028284843456
"226","Theo Maledon",44,1.56878126261949,0.0356541196049883,"PG",-0.157222202803355
"231","Tre Jones",65,2.41314090720137,0.0371252447261749,"PG",0.53194295184418
"244","Jamal Murray",65,2.08645574804208,0.0320993192006474,"PG",0.265302984292733
"247","Bones Hyland",56,1.44207875017823,0.0257514062531826,"PG",-0.260636615300591
"250","Ish Smith",43,1.10905871569781,0.0257920631557631,"PG",-0.532447099181626
"259","Mike Conley",66,2.51559002551555,0.0381150003865992,"PG",0.615561778157765
"260","Collin Sexton",48,1.96135327770646,0.0408615266188846,"PG",0.163194523912287
"272","Spencer Dinwiddie",79,2.55637120061156,0.0323591291216653,"PG",0.648847315928422
"273","Luka Doncic",66,6.15931638828153,0.0933229755800232,"PG",3.58956611197738
"282","Chris Paul",59,2.94243158491786,0.0498717217782688,"PG",0.963949258756931
"285","Cameron Payne",48,1.09620381203439,0.0228375794173831,"PG",-0.542939253476341
"294","Damian Lillard",58,4.40085384236319,0.0758767903855723,"PG",2.15431145458573
"303","De'Aaron Fox",73,3.19305992671562,0.0437405469413099,"PG",1.16851175892194
"306","Davion Mitchell",80,2.34852442180045,0.0293565552725057,"PG",0.479203067317657
"312","Jevon Carter",81,2.50770023587744,0.0309592621713264,"PG",0.609122142949031
"313","Jrue Holiday",67,2.65668461693222,0.0396520092079436,"PG",0.73072298527793
"315","George Hill",46,2.02305196676762,0.0439793905819047,"PG",0.213552907169029
"324","Reggie Jackson",68,0.814089846220485,0.0119719095032424,"PG",-0.773200275691162
"325","John Wall",34,0.70122889858367,0.0206243793701079,"PG",-0.865317222457736
"335","Cole Anthony",60,2.49329138986224,0.0415548564977039,"PG",0.597361663091805
"341","Miles McBride",64,1.83713097215256,0.0287051714398837,"PG",0.0618044527890716
"343","Ryan Arcidiacono",20,0.722665848532826,0.0361332924266413,"PG",-0.847820414051885
"348","Payton Pritchard",48,1.61983866118609,0.0337466387747103,"PG",-0.115549225885467
"350","Malachi Flynn",53,1.54551670382698,0.0291606925250374,"PG",-0.176210702977333
"360","Daishen Nix",57,1.26843278509475,0.0222532067560482,"PG",-0.402366207836881
"361","Trevor Hudgins",5,0.149762527955597,0.0299525055911193,"PG",-1.31542329874352
"367","Kennedy Chandler",36,1.301482011355,0.0361522780931945,"PG",-0.375391475834016
"373","McKinley Wright IV",27,0.996411419920137,0.0369041266637088,"PG",-0.624389663601189
"383","Vit Krejci",29,1.11887806019132,0.0385820020755626,"PG",-0.52443256401308
"391","Jason Preston",14,0.503566282034298,0.035969020145307,"PG",-1.0266491721505
"408","Jordan Goodwin",62,2.73654504950313,0.0441378233790828,"PG",0.795904958049976
"409","Facundo Campazzo",8,0.328850206328293,0.0411062757910366,"PG",-1.1692521874722
"421","Matthew Dellavedova",32,1.13274771868365,0.0353983662088641,"PG",-0.513112168253865
"437","Jeff Dowtin Jr.",25,0.962468508541629,0.0384987403416652,"PG",-0.652093820140954
"453","LaMelo Ball",36,0.801362170151203,0.0222600602819779,"PG",-0.783588587002432
"455","TyTy Washington Jr.",31,0.847332623813317,0.0273333104455909,"PG",-0.746067567362802
"463","Dennis Schroder",66,1.21843891518196,0.0184611956845751,"PG",-0.443171134162959
"471","Devon Dotson",6,0.220520860707001,0.0367534767845001,"PG",-1.25767044704563
"472","Saben Lee",25,0.951030728475469,0.0380412291390188,"PG",-0.661429320148208
"475","Markelle Fultz",60,2.1320587784842,0.0355343129747366,"PG",0.302524113616837
"484","Kemba Walker",9,0.288510954751024,0.0320567727501138,"PG",-1.20217702788826
"486","Kira Lewis Jr.",25,1.05209573607748,0.0420838294430994,"PG",-0.578940203051681
"495","Ricky Rubio",33,1.14929534965487,0.0348271318077233,"PG",-0.499606015122899
"503","Jamaree Bouyea",5,0.148062307116285,0.0296124614232569,"PG",-1.31681101660187
"504","Quenton Jackson",9,0.274283327261396,0.0304759252512663,"PG",-1.21378959743972
"506","Carlik Jones",6,0.222882636145834,0.0371471060243056,"PG",-1.25574276925336
"507","Kris Dunn",22,1.23635982246269,0.0561981737483041,"PG",-0.428544114839141
"512","Frank Jackson",1,0.0267795411341586,0.0267795411341586,"PG",-1.41580183965991
"513","Jared Butler",6,0.232864733258235,0.0388107888763725,"PG",-1.24759539562612
"516","Lindell Wigginton",7,0.193613722994355,0.0276591032849078,"PG",-1.27963201501237
"527","Skylar Mays",5,0.181320014719392,0.0362640029438785,"PG",-1.28966612242012
"531","Michael Carter-Williams",4,0.100871107930091,0.0252177769825227,"PG",-1.35532840702176
"538","Jacob Gilyard",1,0.0176600914756222,0.0176600914756222,"PG",-1.42324512164828
"4","Tyrese Maxey",60,2.41354546640461,0.0402257577734102,"SG",0.922897131865079
"7","De'Anthony Melton",77,2.84586903302434,0.0369593380912252,"SG",1.35708499999875
"10","Matisse Thybulle",71,2.85861714115283,0.0402622132556737,"SG",1.36988808157564
"14","Derrick White",82,3.89695729674407,0.0475238694724887,"SG",2.41270585364101
"21","Lonnie Walker IV",56,1.0680168290566,0.0190717290902965,"SG",-0.42843380558714
"26","Austin Reaves",64,3.20725750635258,0.050113398536759,"SG",1.7200318826527
"27","Kendrick Nunn",70,1.51315069449543,0.0216164384927919,"SG",0.0186196029978788
"33","Max Christie",41,1.4441434285474,0.0352230104523757,"SG",-0.0506852418015301
"43","Donte DiVincenzo",71,3.40182446104134,0.047913020578047,"SG",1.91543786508871
"44","Moses Moody",62,2.41366077649888,0.0389300125241755,"SG",0.923012939209096
"49","Terrence Ross",63,1.37905973461935,0.02188983705745,"SG",-0.116049595028522
"50","Jalen Suggs",53,1.67955214673595,0.0316896631459613,"SG",0.185738625371706
"55","R.J. Hampton",47,1.5601645273481,0.0331949899435765,"SG",0.0658361727969646
"60","Jaden Ivey",73,0.403920183848614,0.00553315320340567,"SG",-1.09539422338736
"69","Bradley Beal",50,1.88227737728264,0.0376455475456528,"SG",0.389338064458952
"74","Will Barton",56,1.48021265926302,0.0264323689154111,"SG",-0.0144604703598909
"82","Bennedict Mathurin",78,2.45000032110453,0.0314102605269811,"SG",0.959509190210726
"87","Eric Gordon",69,1.91957137635886,0.0278198750196936,"SG",0.426792885808827
"90","Jalen Green",76,1.08919533475955,0.0143315175626257,"SG",-0.407163972176674
"95","Garrison Mathews",54,2.05452609386297,0.0380467795159809,"SG",0.562329566230486
"96","Josh Christopher",64,1.61870269670722,0.0252922296360503,"SG",0.124626775301503
"100","Dejounte Murray",74,2.58482382371333,0.0349300516718018,"SG",1.09491408990133
"124","Edmond Sumner",53,2.00314224781686,0.0377951367512614,"SG",0.510724138504879
"126","Cam Thomas",57,1.92864304130552,0.0338358428299215,"SG",0.435903670340911
"133","Ayo Dosunmu",79,1.8648034981943,0.0236051075720797,"SG",0.37178883306101
"135","Coby White",73,2.23675602358148,0.0306404934737189,"SG",0.745345322954717
"141","Tyler Herro",67,2.03578162495661,0.0303848003724867,"SG",0.543504265871812
"148","Donovan Mitchell",68,3.59417914284655,0.0528555756300963,"SG",2.10862203469471
"151","Caris LeVert",74,2.19602657896675,0.029676034850902,"SG",0.704440241453352
"161","Gary Trent Jr.",66,2.10429219603971,0.0318832150915108,"SG",0.612310273917529
