"","player","GP","PVWS","WSpg","position","Z_val"
"5","James Harden",58,5.80849950853391,0.100146543250585,"PG",1.93729513409969
"15","Marcus Smart",61,2.65490958287518,0.0435231079159865,"PG",0.272115886971672
"18","Malcolm Brogdon",67,4.14623629911749,0.0618841238674253,"PG",1.05957600611052
"24","Russell Westbrook",73,4.04479667917257,0.0554081736872955,"PG",1.00601319231711
"25","Patrick Beverley",67,2.65427795889148,0.0396160889386787,"PG",0.271782372730937
"32","Scotty Pippen Jr.",6,0.035659254562337,0.00594320909372283,"PG",-1.11091785950656
"38","Stephen Curry",55,5.93381723551767,0.107887586100321,"PG",2.00346622266538
"39","Jordan Poole",81,2.78183840442653,0.0343436840052658,"PG",0.33913767626331
"45","Ryan Rollins",12,0.0108337115479436,0.000902809295661965,"PG",-1.12402640563994
"59","Cade Cunningham",12,0.539067610384723,0.0449223008653936,"PG",-0.845104875983922
"61","Killian Hayes",75,2.02439389878188,0.026991918650425,"PG",-0.0608131421320658
"64","Cory Joseph",62,1.7999525064601,0.0290314920396791,"PG",-0.179324158941796
"70","Monte Morris",62,3.52981771715459,0.0569325438250741,"PG",0.734090621382097
"72","Delon Wright",50,3.03510562499281,0.0607021124998561,"PG",0.47286949606441
"80","Tyrese Haliburton",56,5.41354270569384,0.0966704054588185,"PG",1.72874745126679
"83","T.J. McConnell",75,3.6655480730305,0.0488739743070733,"PG",0.805759854585473
"91","Kevin Porter Jr.",59,3.63094152510766,0.0615413817814858,"PG",0.787486678055139
"101","Trae Young",73,4.51657810027107,0.0618709328804256,"PG",1.25512631422362
"103","Aaron Holiday",63,1.02967414665245,0.0163440340738484,"PG",-0.586051593231017
"110","CJ McCollum",75,4.14136181396744,0.0552181575195659,"PG",1.0570021484741
"111","Jose Alvarado",61,1.71941138035508,0.0281870718090997,"PG",-0.221852012877146
"114","Devonte' Graham",72,2.08508923768651,0.0289595727456459,"PG",-0.0287643909868825
"116","Dyson Daniels",59,1.8123652779673,0.0307180555587678,"PG",-0.172769885875107
"120","Kyrie Irving",60,5.32441058659216,0.0887401764432027,"PG",1.68168332483328
"121","Ben Simmons",42,2.72949148258231,0.0649878924424359,"PG",0.311497111078594
"123","Patty Mills",40,0.677251226139821,0.0169312806534955,"PG",-0.772140256400278
