"","player","ROI","salary","gp","PVWS","position","Z_val"
"5","James Harden",0.0148544662059786,3.3e+07,58,5.80849950853391,"PG",0.0975833450838114
"15","Marcus Smart",0.0104636992818876,17207142,61,2.65490958287518,"PG",-0.0520773627052799
"17","Malcolm Brogdon",0.0109941824080986,22600000,67,4.14623629911749,"PG",-0.0339956741275278
"22","Russell Westbrook",-0.00425485430388783,47080179,73,4.04479667917257,"PG",-0.553764012295511
"23","Patrick Beverley",0.0107473197024603,13801614,67,2.65427795889148,"PG",-0.042410069127601
"31","Stephen Curry",0.00628320022881179,48070014,55,5.93381723551767,"PG",-0.194571022243922
"32","Jordan Poole",0.0502633812970541,3901399,81,2.78183840442653,"PG",1.30450764468582
"51","Killian Hayes",-0.00684981788886962,5837760,75,2.02439389878188,"PG",-0.642214183650415
"54","Cory Joseph",-0.00795849110213576,5155500,62,1.7999525064601,"PG",-0.680003667964381
"60","Monte Morris",-0.00365041955166656,9125000,62,3.52981771715459,"PG",-0.533161658676277
"62","Delon Wright",-0.00461178667903872,7804878,50,3.03510562499281,"PG",-0.565930167507447
"69","Tyrese Haliburton",0.0600682145594023,4215120,56,5.41354270569384,"PG",1.63870855108006
"72","T.J. McConnell",-0.0019778060705814,8100000,75,3.6655480730305,"PG",-0.476150088314089
"78","Kevin Porter Jr.",0.020196471987254,3217631,59,3.63094152510766,"PG",0.279667336345682
"88","Trae Young",-0.0164727614588609,37096500,73,4.51657810027107,"PG",-0.970215321173225
"90","Aaron Holiday",0.0211860355434159,1968175,63,1.02967414665245,"PG",0.313396929552941
"96","CJ McCollum",-0.0111279627534698,33333333,75,4.14136181396744,"PG",-0.788036132191416
"97","Jose Alvarado",0.169561927081959,1563518,61,1.71941138035508,"PG",5.37083708303889
"100","Devonte' Graham",-0.0114764260546361,11550000,72,2.08508923768651,"PG",-0.799913616283075
"102","Dyson Daniels",0.0309857181676259,5508600,59,1.8123652779673,"PG",0.647422274783799
"106","Kyrie Irving",-0.000124180043763356,38917057,60,5.32441058659217,"PG",-0.412968646906265
"107","Ben Simmons",-0.0130513648083714,35448672,42,2.72949148258231,"PG",-0.853595912037658
"115","Alex Caruso",0.00391257646407461,9030000,66,2.69067410810146,"PG",-0.275374498416972
"119","Goran Dragic",0.0221574660601567,3523762,57,0.881109936613551,"PG",0.34650845225884
"124","Kyle Lowry",-0.0132664964972931,28333334,55,2.80473704088148,"PG",-0.860928745091316
"126","Gabe Vincent",0.0457791036794986,1815677,68,1.54931705249258,"PG",1.15165959472811
"133","Darius Garland",0.0246140789776579,8920794,69,4.06941168085907,"PG",0.430242896458055
"138","Raul Neto",-0.00146617580901665,2463490,48,0.882057372589103,"PG",-0.45871100571283
"143","Fred VanVleet",-0.00125472981671881,21250000,69,4.4202235068041,"PG",-0.451503800818206
"151","Jalen Brunson",-0.00481262342814881,27733332,68,4.65420332809808,"PG",-0.572775752923734
"159","Ja Morant",0.0294639637855663,12119440,61,4.71542502032246,"PG",0.595552785503782
"161","Tyus Jones",0.0149940916384645,1.5e+07,80,4.08438298290941,"PG",0.102342523016155
"167","Shai Gilgeous-Alexander",-0.0137103503046928,30913750,68,6.35987461976188,"PG",-0.876057645376561
"168","Tre Mann",0.00415613595774689,3046200,67,1.37200025026479,"PG",-0.267072694462919
"177","D'Angelo Russell",-0.00933816027602186,31377750,70,4.06113649985427,"PG",-0.727030137063815
"179","Jordan McLaughlin",0.0375054694215282,2160000,42,1.14075746623352,"PG",0.869650100613985
"189","Dennis Smith Jr.",0.014464233774516,2133278,54,1.91369962724827,"PG",0.0842821467044322
"195","Theo Maledon",0.00700062041296179,2408891,44,1.43490627311237,"PG",-0.170117523709768
"199","Tre Jones",0.041105712920356,1782621,65,3.56579278370878,"PG",0.992365562300485
"208","Jamal Murray",-0.00258583741811524,31650600,65,4.15451148012229,"PG",-0.496875033045404
"211","Bones Hyland",0.0447556233666153,2201520,56,1.62719437739051,"PG",1.11677393792089
"213","Ish Smith",-0.00831223515956425,4725000,43,0.410802304810357,"PG",-0.692061148337674
"221","Mike Conley",-0.0116025497224229,22680000,66,3.55359055352948,"PG",-0.804212582207766
"222","Collin Sexton",-0.0412978982570776,16700000,48,1.64416582205591,"PG",-1.81638812160064
"233","Spencer Dinwiddie",0.0129264110268557,19500000,79,4.51997879612582,"PG",0.0318649619966257
